time	I(C1)	I(L1)	I(R1)
1.624950917648568e+00	-4.597279e+00	5.400581e-01	4.057221e+00
1.636111631934282e+00	-4.695600e+00	5.074908e-01	4.188109e+00
1.641691989077139e+00	-4.735283e+00	4.903646e-01	4.244918e+00
1.647272346219996e+00	-4.769071e+00	4.726958e-01	4.296375e+00
1.652852703362853e+00	-4.796965e+00	4.544845e-01	4.342481e+00
1.658433060505710e+00	-4.818965e+00	4.357307e-01	4.383234e+00
1.664013417648568e+00	-4.835070e+00	4.164343e-01	4.418636e+00
1.669593774791425e+00	-4.845281e+00	3.965953e-01	4.448686e+00
1.675174131934282e+00	-4.849598e+00	3.762138e-01	4.473384e+00
1.677964310505710e+00	-4.849491e+00	3.658705e-01	4.483620e+00
1.680754489077139e+00	-4.847898e+00	3.554237e-01	4.492474e+00
1.683544667648568e+00	-4.844819e+00	3.448734e-01	4.499946e+00
1.686334846219996e+00	-4.840254e+00	3.342197e-01	4.506035e+00
1.689125024791425e+00	-4.834204e+00	3.234626e-01	4.510741e+00
1.691915203362853e+00	-4.826667e+00	3.126020e-01	4.514065e+00
1.694705381934282e+00	-4.817645e+00	3.016380e-01	4.516007e+00
1.702796899791425e+00	-4.782718e+00	2.691410e-01	4.513578e+00
1.710888417648568e+00	-4.735841e+00	2.361715e-01	4.499670e+00
1.718979935505710e+00	-4.677013e+00	2.027295e-01	4.474283e+00
1.727071453362853e+00	-4.606234e+00	1.688151e-01	4.437419e+00
1.735162971219996e+00	-4.523504e+00	1.344282e-01	4.389075e+00
1.743254489077139e+00	-4.428823e+00	9.956877e-02	4.329253e+00
1.751346006934282e+00	-4.322190e+00	6.423689e-02	4.257953e+00
1.753857167648568e+00	-4.286945e+00	5.329668e-02	4.233648e+00
1.756368328362853e+00	-4.250656e+00	4.235055e-02	4.208306e+00
1.758879489077139e+00	-4.213326e+00	3.139850e-02	4.181927e+00
1.761390649791425e+00	-4.174952e+00	2.044054e-02	4.154511e+00
1.763901810505710e+00	-4.135536e+00	9.476659e-03	4.126059e+00
1.766412971219996e+00	-4.095077e+00	-1.493134e-03	4.096570e+00
1.768924131934282e+00	-4.053576e+00	-1.246884e-02	4.066044e+00
1.774783506934282e+00	-3.952508e+00	-3.812986e-02	3.990638e+00
1.780642881934282e+00	-3.846469e+00	-6.365070e-02	3.910120e+00
1.786502256934282e+00	-3.735458e+00	-8.903134e-02	3.824490e+00
1.792361631934282e+00	-3.619476e+00	-1.142718e-01	3.733748e+00
1.798221006934282e+00	-3.498522e+00	-1.393721e-01	3.637894e+00
1.804080381934282e+00	-3.372597e+00	-1.643322e-01	3.536929e+00
1.809939756934282e+00	-3.241700e+00	-1.891521e-01	3.430852e+00
1.820821453362853e+00	-2.984508e+00	-2.348645e-01	3.219373e+00
1.831703149791425e+00	-2.716662e+00	-2.789790e-01	2.995641e+00
1.842584846219996e+00	-2.438163e+00	-3.214956e-01	2.759658e+00
1.853466542648568e+00	-2.149009e+00	-3.624143e-01	2.511423e+00
1.864348239077139e+00	-1.849201e+00	-4.017350e-01	2.250936e+00
1.875229935505710e+00	-1.538740e+00	-4.394577e-01	1.978198e+00
1.886111631934282e+00	-1.217625e+00	-4.755825e-01	1.693207e+00
1.890017881934282e+00	-1.101953e+00	-4.878632e-01	1.589816e+00
1.893924131934282e+00	-9.857943e-01	-4.998318e-01	1.485626e+00
1.897830381934282e+00	-8.691497e-01	-5.114883e-01	1.380638e+00
1.901736631934282e+00	-7.520187e-01	-5.228327e-01	1.274851e+00
1.905642881934282e+00	-6.344015e-01	-5.338650e-01	1.168267e+00
1.909549131934282e+00	-5.162981e-01	-5.445852e-01	1.060883e+00
1.913455381934282e+00	-3.977083e-01	-5.549933e-01	9.527016e-01
1.915408506934282e+00	-3.384081e-01	-5.600636e-01	8.984717e-01
1.919035739077139e+00	-2.280084e-01	-5.692661e-01	7.972746e-01
1.922662971219996e+00	-1.176350e-01	-5.781613e-01	6.957963e-01
1.926290203362853e+00	-7.287635e-03	-5.867492e-01	5.940368e-01
1.929917435505710e+00	1.030335e-01	-5.950297e-01	4.919961e-01
1.933544667648568e+00	2.133286e-01	-6.030029e-01	3.896743e-01
1.937171899791425e+00	3.235974e-01	-6.106687e-01	2.870713e-01
1.940799131934282e+00	4.338401e-01	-6.180272e-01	1.841871e-01
1.943310292648568e+00	5.099806e-01	-6.229289e-01	1.129483e-01
1.945821453362853e+00	5.859464e-01	-6.276724e-01	4.172604e-02
1.948332614077139e+00	6.617376e-01	-6.322578e-01	-2.947973e-02
1.950843774791425e+00	7.373540e-01	-6.366850e-01	-1.006690e-01
1.953354935505710e+00	8.127958e-01	-6.409540e-01	-1.718417e-01
1.955866096219996e+00	8.880629e-01	-6.450649e-01	-2.429980e-01
1.958377256934282e+00	9.631553e-01	-6.490176e-01	-3.141377e-01
1.963957614077139e+00	1.129532e+00	-6.572333e-01	-4.722990e-01
1.969537971219996e+00	1.294020e+00	-6.646204e-01	-6.293994e-01
1.975118328362853e+00	1.456617e+00	-6.711786e-01	-7.854389e-01
1.980698685505710e+00	1.617326e+00	-6.769082e-01	-9.404175e-01
1.986279042648568e+00	1.776144e+00	-6.818090e-01	-1.094335e+00
1.991859399791425e+00	1.933073e+00	-6.858811e-01	-1.247192e+00
1.997439756934282e+00	2.088112e+00	-6.891245e-01	-1.398988e+00
1.999392881934282e+00	2.141662e+00	-6.900716e-01	-1.451591e+00
2.000000000000000e+00	2.158251e+00	-6.903473e-01	-1.467903e+00
