time	I(C1)**2	I(L1)**2	I(R1)**2
1.864348239077139e+00	3.419546e+00	1.613910e-01	5.066714e+00
1.875229935505710e+00	2.367721e+00	1.931231e-01	3.913266e+00
1.886111631934282e+00	1.482610e+00	2.261788e-01	2.866950e+00
1.890017881934282e+00	1.214300e+00	2.380105e-01	2.527514e+00
1.893924131934282e+00	9.717904e-01	2.498318e-01	2.207085e+00
1.897830381934282e+00	7.554211e-01	2.616203e-01	1.906161e+00
1.901736631934282e+00	5.655322e-01	2.733540e-01	1.625246e+00
1.905642881934282e+00	4.024653e-01	2.850118e-01	1.364847e+00
1.909549131934282e+00	2.665637e-01	2.965730e-01	1.125473e+00
1.913455381934282e+00	1.581719e-01	3.080175e-01	9.076403e-01
1.915408506934282e+00	1.145200e-01	3.136712e-01	8.072514e-01
1.919035739077139e+00	5.198785e-02	3.240639e-01	6.356467e-01
1.922662971219996e+00	1.383798e-02	3.342705e-01	4.841324e-01
1.926290203362853e+00	5.310963e-05	3.442746e-01	3.528797e-01
1.929917435505710e+00	1.061591e-02	3.540603e-01	2.420602e-01
1.933544667648568e+00	4.550907e-02	3.636124e-01	1.518461e-01
1.937171899791425e+00	1.047153e-01	3.729163e-01	8.240993e-02
1.940799131934282e+00	1.882173e-01	3.819576e-01	3.392489e-02
1.943310292648568e+00	2.600802e-01	3.880404e-01	1.275732e-02
1.945821453362853e+00	3.433332e-01	3.939727e-01	1.741062e-03
1.948332614077139e+00	4.378966e-01	3.997499e-01	8.690546e-04
1.950843774791425e+00	5.436909e-01	4.053678e-01	1.013425e-02
1.953354935505710e+00	6.606370e-01	4.108220e-01	2.952958e-02
1.955866096219996e+00	7.886556e-01	4.161087e-01	5.904802e-02
1.958377256934282e+00	9.276681e-01	4.212238e-01	9.868249e-02
1.963957614077139e+00	1.275843e+00	4.319556e-01	2.230663e-01
1.969537971219996e+00	1.674487e+00	4.417202e-01	3.961436e-01
1.975118328362853e+00	2.121734e+00	4.504808e-01	6.169142e-01
1.980698685505710e+00	2.615742e+00	4.582047e-01	8.843850e-01
1.986279042648568e+00	3.154688e+00	4.648635e-01	1.197569e+00
1.991859399791425e+00	3.736771e+00	4.704329e-01	1.555488e+00
1.997439756934282e+00	4.360212e+00	4.748925e-01	1.957167e+00
1.999392881934282e+00	4.586717e+00	4.761988e-01	2.107115e+00
2.000000000000000e+00	4.658047e+00	4.765794e-01	2.154740e+00
